9,12,25,37
50,54,66,77
94,97,116,130
141,144,156,172
185,188,201,251
350,354,371,384
390,393,406,416
424,429,446,469
484,489,501,515
528,531,544,554
561,564,582,596
603,607,628,644
649,652,664,676
685,688,700,727
746,749,767,795
882,885,898,908
917,920,930,940
946,949,966,978
983,992,1004,1014
1016,1019,1031,1043
1046,1049,1062,1072
1119,1126,1144,1154
1173,1176,1188,1198
1373,1376,1386,1400
1423,1426,1442,1453
1462,1462,1477,1487
1490,1493,1507,1519
1520,1524,1551,1577
1588,1591,1603,1615
1633,1636,1650,1668
1717,1721,1733,1743
1758,1761,1777,1788
1795,1818,1847,1861
1874,1877,1887,1897
1904,1907,1918,1938
1943,1961,1974,1984
1987,1990,2004,2014
2041,2044,2054,2102
2528,2531,2545,2555
2578,2581,2593,2607
2612,2615,2630,2640
2647,2650,2678,2690
2692,2695,2708,2718
2727,2730,2742,2756
2779,2784,2798,2808
2811,2814,2825,2837
2853,2856,2866,2876
2879,2882,2894,2904
2905,2908,2941,2951
2972,2975,2987,2996